user,text
brian44182533,@nytimes Whoâ€™s money is funding these lotteries? And do they agree with where their money is being spent??
OfAnders121,@nytimes https://t.co/QXv6xlBN15
ToddLytle,@nytimes Must be nice
ktmacg79,@nytimes â¤ï¸
sinjitunohanasi,@nytimes https://t.co/a6PAx0NRCM
MissFarai,@nytimes This is nothing to be proud of. Imagine having to bribe people to make sure they do something so they don't die of a terrible disease and/or infect others.
Ah_ma_rah,@nytimes CAN A CHURCH GIRL BE SEXY AND HIGH FASHION AT THE SAME TIME?...  Watch my latest fashion video to find out via LINK BELOW â†“  https://t.co/Vl22n8NMrI  PLEASE SUSBCRIBE and Turn on POST NOTIFICATIONS. THANKS!  #viral #trending #highfashion #Christian #YouTuber
bfordski,@nytimes @chischisschissy why is this a thing
kolyk,@nytimes @th_alys
JoanneC32564892,"@nytimes For me, I will hang up off the phone LOL, l thought it was a prank"
Jeremiah_37,@nytimes Good thing she didn't think that about the virus. ğŸ˜€
Autarkh,@nytimes @donmoyn Love it. And it's already showing results in increased vaccination. Kudos to Gov. DeWine for experimenting with this.
AliMandela9,"@nytimes Only one winner, it's cool but I would of picked ten winners every month until enough people are vaccinated."
kids_lance,@nytimes A vaccine lottery. Twisted.
groverthompson,"@nytimes Good for her, spend and invest wisely."
jonNYC5yve,@nytimes Absurd
XXFutureXY,@nytimes https://t.co/KMjN8QwYVk
netzardfan,@nytimes Youth is wasted on the young.
RahafAl35049062,@nytimes #SaveSheikhJarrah  #SaveSilwan  #IsraelApartheidstate  free Palestine ğŸ‡µğŸ‡¸ğŸ‡µğŸ‡¸ğŸ‡µğŸ‡¸ https://t.co/pzgbam65L4